Bank,Online or In-Person,Transaction Date,Sum_Value
DTB,In-Person,Wednesday,52819
DSB,In-Person,Saturday,72679
DS,Online,Saturday,71357
DTB,In-Person,Sunday,29468
DSB,Online,Monday,31692
DS,In-Person,Monday,42806
DSB,In-Person,Tuesday,28604
DSB,In-Person,Sunday,37755
DS,In-Person,Friday,58599
DSB,Online,Saturday,61350
DTB,In-Person,Friday,41861
DTB,In-Person,Thursday,57605
DTB,Online,Sunday,49087
DTB,Online,Saturday,21392
DTB,Online,Tuesday,68959
DS,In-Person,Saturday,34867
DTB,Online,Friday,27366
DS,Online,Tuesday,36639
DTB,In-Person,Monday,21561
DSB,In-Person,Wednesday,36069
DSB,In-Person,Thursday,37567
DTB,In-Person,Tuesday,54029
DS,In-Person,Sunday,51301
DS,In-Person,Tuesday,32607
DSB,Online,Friday,45647
DS,In-Person,Wednesday,63686
DSB,In-Person,Friday,9402
DSB,Online,Thursday,33463
DSB,Online,Tuesday,32257
DS,Online,Friday,58731
DS,Online,Thursday,13337
DTB,Online,Thursday,53756
DTB,Online,Monday,38688
DS,Online,Wednesday,59104
DS,In-Person,Thursday,75582
DS,Online,Sunday,21761
DS,Online,Monday,33563
DTB,Online,Wednesday,35313
DTB,In-Person,Saturday,66334
DSB,In-Person,Monday,43546
DSB,Online,Sunday,13086
DSB,Online,Wednesday,47372
