Bank,Online or In-person,Transaction Date,Value
DSB,In-Person,Friday,9402
DTB,In-Person,Monday,21561
DS,In-Person,Wednesday,63686
DS,Online,Tuesday,36639
DTB,Online,Sunday,49087
DS,In-Person,Thursday,75582
DS,Online,Friday,58731
DSB,Online,Thursday,33463
DSB,In-Person,Thursday,37567
DS,In-Person,Monday,42806
DSB,Online,Friday,45647
DS,In-Person,Friday,58599
DTB,Online,Friday,27366
DS,Online,Monday,33563
DS,In-Person,Sunday,51301
DSB,Online,Wednesday,47372
DTB,In-Person,Sunday,29468
DTB,Online,Thursday,53756
DSB,Online,Monday,31692
DTB,Online,Monday,38688
DSB,In-Person,Sunday,37755
DS,Online,Saturday,71357
DSB,In-Person,Saturday,72679
DTB,In-Person,Friday,41861
DSB,Online,Saturday,61350
DSB,Online,Sunday,13086
DS,In-Person,Tuesday,32607
DTB,In-Person,Saturday,66334
DS,Online,Sunday,21761
DS,Online,Thursday,13337
DTB,In-Person,Tuesday,54029
DSB,In-Person,Wednesday,36069
DTB,Online,Saturday,21392
DSB,In-Person,Monday,43546
DSB,In-Person,Tuesday,28604
DSB,Online,Tuesday,32257
DTB,Online,Tuesday,68959
DS,Online,Wednesday,59104
DTB,Online,Wednesday,35313
DS,In-Person,Saturday,34867
DTB,In-Person,Thursday,57605
DTB,In-Person,Wednesday,52819
